"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tony Pollard","TEN","227.0","957.1","5.4","40.0","257.5","0.9","1.0","157.0"
"Joe Mixon","HOU","200.6","787.4","7.0","31.9","245.0","1.2","0.9","151.3"
"Isiah Pacheco","KC","203.5","837.6","5.7","33.4","228.6","1.1","1.0","145.3"
"Kaleb Johnson","PIT","196.7","828.8","6.4","23.2","177.8","1.0","1.7","141.8"
"RJ Harvey","DEN","174.0","762.0","5.2","33.6","257.4","1.6","1.0","141.0"
"Tyrone Tracy Jr.","NYG","188.9","804.4","5.0","35.4","260.8","1.1","1.6","139.6"
"Jaylen Warren","PIT","150.8","687.2","3.8","47.5","348.4","1.1","1.1","130.8"
"Quinshon Judkins","CLE","180.9","745.2","4.8","22.7","171.9","1.0","1.3","123.8"
"Brian Robinson Jr.","WAS","167.4","662.4","5.6","19.7","148.0","0.9","0.9","118.1"
"J.K. Dobbins","DEN","148.4","658.2","4.7","29.1","187.9","1.2","1.2","117.7"
"Javonte Williams","DAL","174.9","645.7","4.2","35.9","229.2","1.1","0.9","117.4"
"Jordan Mason","MIN","161.9","746.3","4.4","17.6","128.3","0.7","0.7","116.7"
"Austin Ekeler","WAS","95.3","430.6","4.3","45.3","371.1","1.8","1.0","114.5"
"Rhamondre Stevenson","NE","154.2","630.4","4.9","28.0","177.7","1.1","1.5","113.8"
"Travis Etienne Jr.","JAC","140.8","576.4","3.7","37.7","278.6","1.2","0.9","112.6"
"Zach Charbonnet","SEA","127.3","537.9","4.5","33.1","243.9","0.9","0.8","108.9"
"Najee Harris","LAC","138.4","558.1","4.8","21.8","157.9","0.8","0.8","103.5"
"Rachaad White","TB","114.5","462.6","2.8","37.6","282.9","2.1","1.3","101.7"
"Tyjae Spears","TEN","124.3","497.6","3.7","33.6","251.5","1.0","0.9","101.2"
"Jerome Ford","CLE","143.5","576.5","2.9","31.8","218.8","0.9","0.8","101.1"
"Cam Skattebo","NYG","125.2","541.8","3.6","24.6","188.9","0.9","1.2","97.8"
"Tank Bigsby","JAC","151.5","611.8","4.8","11.2","81.6","0.2","1.2","96.9"
"Trey Benson","ARI","130.3","575.5","3.9","13.5","104.6","0.4","0.9","92.4"
"Jacory Croskey-Merritt","WAS","105.2","474.9","4.2","15.8","131.4","0.8","0.8","89.4"
"Jaylen Wright","MIA","135.7","559.0","3.4","14.1","98.2","0.6","1.5","86.6"
"Nick Chubb","HOU","124.1","511.6","4.3","10.4","79.2","0.4","0.5","86.5"
"Ray Davis","BUF","114.4","484.5","3.6","12.4","105.5","1.0","0.8","85.0"
"Tyler Allgeier","ATL","119.9","549.4","3.3","12.6","92.5","0.3","0.8","84.3"
"Jaydon Blue","DAL","109.2","476.9","2.9","19.3","150.7","0.8","0.8","83.3"
"Dylan Sampson","CLE","115.0","463.7","2.4","22.6","176.8","0.9","0.8","82.3"
"Isaac Guerendo","SF","112.7","488.0","3.9","10.6","92.8","0.4","0.9","81.8"
"Rico Dowdle","CAR","99.3","431.3","2.5","21.0","143.5","1.1","0.8","77.1"
"Roschon Johnson","CHI","90.8","328.8","4.7","18.5","120.5","0.5","0.4","75.2"
"Bhayshul Tuten","JAC","91.6","397.3","2.7","17.5","137.6","0.8","0.8","73.1"
"Braelon Allen","NYJ","105.0","404.9","2.7","16.2","120.6","0.8","0.4","73.0"
