"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Xavier Restrepo","TEN","10.0","105.0","1.0","0.0","2.0","0.0","0.0","16.7"
"Mack Hollins","NE","8.2","102.1","0.8","0.0","1.7","0.0","0.0","15.1"
"Chris Blair","ATL","9.4","106.2","0.7","0.0","0.0","0.0","0.0","15.0"
"Olamide Zaccheaus","CHI","9.4","100.6","0.7","1.1","6.0","0.0","0.1","14.9"
"Tylan Wallace","BAL","6.7","87.6","0.9","0.0","1.7","0.0","0.0","14.2"
"Trey Palmer","TB","8.6","94.1","0.8","0.0","0.0","0.0","0.0","14.1"
"Simi Fehoko","ARI","7.6","91.6","0.7","0.0","0.0","0.0","0.0","13.2"
"Tim Jones","MIN","7.4","83.2","0.6","0.0","0.0","0.0","0.1","12.0"
"Sterling Shepard","TB","7.7","80.3","0.5","0.8","7.0","0.0","0.0","11.9"
"KeAndre Lambert-Smith","LAC","5.9","77.7","0.6","0.0","3.0","0.0","0.0","11.4"
"Hunter Renfrow","CAR","9.3","91.4","0.4","0.0","0.0","0.0","0.0","11.4"
"Cedrick Wilson Jr.","NO","7.1","78.2","0.5","0.0","2.0","0.0","0.0","11.2"
"Jamal Agnew","ATL","7.1","73.5","0.6","0.0","0.0","0.0","0.1","10.8"
"Bo Melton","GB","6.2","73.8","0.6","0.0","0.0","0.0","0.0","10.7"
"Devontez Walker","BAL","4.9","67.3","0.6","0.0","1.7","0.0","0.0","10.7"
"Ben Skowronek","PIT","6.5","72.1","0.5","0.0","0.0","0.0","0.0","10.3"
"Maurice Alexander","CHI","6.4","70.4","0.4","0.0","0.0","0.0","0.0","9.6"
"Irvin Charles","NYJ","6.2","66.0","0.4","0.0","0.0","0.0","0.0","9.2"
"David Moore","CAR","5.9","73.4","0.3","0.0","0.0","0.0","0.0","9.0"
"Xavier Weaver","ARI","5.2","61.4","0.5","0.0","0.0","0.0","0.0","9.0"
"Malik Heath","GB","5.5","62.1","0.5","0.0","0.0","0.0","0.0","8.9"
"Tommy Mellott","LV","3.7","43.6","0.2","4.0","24.1","0.2","0.0","8.9"
"John Metchie III","PHI","6.3","69.0","0.3","0.0","0.0","0.0","0.0","8.8"
"Derius Davis","LAC","2.8","31.2","0.1","10.5","35.4","0.2","0.6","7.5"
